location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Hospital,Multipurpose Room,Rain Water Harvesting,Vaastu Compliant,ATM,Car Parking,Intercom,Maintenance Staff,School,Shopping Mall,Staff Quarter,Golf Course,Cafeteria,Indoor Games
Sector 78,1125,11000000,INR,1,0,0,"This plot is situated in Sector 78, Chandigarh. It has an area of 1125 sqft. The property is available at a price of Rs. 1.10 cr . It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,3156,13500000,INR,1,0,0,"3156 Square feet Plot for sale in Devi Nagar, Mohali. This land has a dimension of 39.0 mt length 80.0 mt width. Price. The width of the facing road is 13.0 mt. The most popular landmarks near this plot are Bajwa Institute, PHC, Mullanpur Garibdas, and Guru Gobind Singh Vidya Mandir Sr. Sec School",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1350,1275000,INR,1,1,0,"A plot is available for sale in Yadagirigutta, Chandigarh. It has an area of 1350 sqft and is priced at Rs. 12.75 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
Chandigarh Airport Area,4968,4710000,INR,1,0,0,"This plot is available for sale and is located in the heart of Chandigarh Airport Area. It has a salable area of 4968 sqft and is available at a price of Rs. 948 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1080,850000,INR,1,1,0,"This plot is available for sale and is located in the heart of Yadagirigutta. It has an area of 1080 sqft and is priced at Rs. 8.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1323,1102500,INR,1,1,0,"A plot property is available for sale in Yadagirigutta, Chandigarh. It has an area of 1323 sqft and is priced at Rs. 11.02 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 69,1800,15500000,INR,1,0,0,"8 Marla plot available for sale in sector 69 Mohali More About This Property 1800 Square feet Plot for sale in Sector 69, Mohali. This land has a dimension of 60.0 mt length 30.0 mt width. Price. There are 1 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are Shemrock School, Nanhe Manke International School, and Doon International School",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1000,1000000,INR,1,1,0,"This plot is situated in Yadagirigutta, Chandigarh. It has a salable area of 1000 sqft and is available at a price of Rs. 1,000 per sqft. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1089,544500,INR,1,1,0,"A plot is available for sale in Yadagirigutta, Chandigarh. It has an area of 1089 sqft. The property is available at a price of Rs. 5.45 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Chandigarh Airport Area,1800,9500000,INR,0,1,0,"This plot is situated in Chandigarh Airport Area. It has an area of 1800 sqft. The property is available at a price of Rs. 95.00 lac . It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,1800,12400000,INR,0,1,0,"This plot is situated in New chandigarh mohali, Chandigarh. It has an area of 1800 sqft. The property is available at a price of Rs. 1.24 cr . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Sector 79,3600,41500000,INR,1,0,0,"A plot property is available for sale in Sector 79, Chandigarh. It has an area of 3600 sqft. The property is available at a price of Rs. 4.15 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1485,1155000,INR,0,1,0,"A plot property is available for sale in Yadagirigutta, Chandigarh. It has an area of 1485 sqft. The property is available at a price of Rs. 11.55 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,1120,5600000,INR,1,0,0,"This plot is situated in Dhakoli, Chandigarh. It has an area of 1120 sqft and is priced at Rs. 56.00 lac . It is southeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",1,southeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,2178,1550000,INR,1,1,0,"A plot property is available for sale in Yadagirigutta, Chandigarh. It has an area of 2178 sqft. The property is available at a price of Rs. 15.50 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1503,2446000,INR,1,1,0,This plot is available for sale and is located in the heart of Yadagirigutta. It has an area of 1500 sqft and is priced at Rs. 24.46 lac . Its entry is northeast facing. The society is well connected by different modes of transportation. Contact us for more details. ,1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Mohali Village,2763,12900000,INR,1,0,0,"This plot is situated in Mohali Village. It has an area of 2763 sqft and is priced at Rs. 1.29 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 34,2250,45000000,INR,1,0,0,"This plot is situated in Sector 34, Chandigarh. It has an area of 2250 sqft. The property is available at a price of Rs. 4.50 cr . It is north facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,north,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,3600,28000000,INR,1,0,0,"This plot is available for sale and is located in the heart of New chandigarh mohali. It has an area of 3600 sqft and is priced at Rs. 2.80 cr . Its entry is northwest facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,northwest,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,4275,23499675,INR,1,0,0,"This plot is situated in New chandigarh mohali, Chandigarh. It is southeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,southeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 79,3600,41000000,INR,1,1,0,"This plot is situated in Sector 79, Chandigarh. It has an area of 3600 sqft. The property is available at a price of Rs. 4.10 cr . It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,northeast,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1701,3780000,INR,1,1,0,"A plot is available at a prime location in Yadagirigutta. It has an area of 1701 sqft. The property is available at a price of Rs. 37.80 lac . Its entry is north facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,north,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sunny Enclave,2160,7200000,INR,1,1,0,"A plot is available for sale in Sunny Enclave, Chandigarh. It has an area of 2160 sqft and is priced at Rs. 72.00 lac . Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,west,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1503,2310000,INR,1,1,0,"This plot is available for sale and is located in the heart of Yadagirigutta. It has an area of 1503 sqft. The property is available at a price of Rs. 23.10 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 79,1350,12500000,INR,1,0,0,"1350 Square feet Plot for sale in Sector 79, Mohali. This land has a dimension of 50.0 mt length 27.0 mt width. Price. The width of the facing road is 40.0 mt. The most popular landmarks near this plot are High School, Clinic - Dr. Ranjit Bajwa (Internal Medicine), and Sood Foods Private Limited",1,,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,2160,1704000,INR,1,0,0,"This plot is situated in Yadagirigutta. It has a salable area of 2160 sqft and is available at a price of Rs. 788 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1350,1285000,INR,1,1,0,"It has an area of 1350 sqft and is priced at Rs. 12.85 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1440,2399840,INR,1,1,0,"A plot is available for sale in Yadagirigutta, Chandigarh. It has an area of 1440 sqft and is priced at Rs. 24.00 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
