location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Multipurpose Room,Intercom,Maintenance Staff,Car Parking,Rain Water Harvesting,Vaastu Compliant,Indoor Games,Golf Course,Cafeteria,ATM,Hospital,School,Shopping Mall,Staff Quarter
Aundh,8400,125000000,INR,1,0,0,"8400 Square feet Plot for sale in Aundh, Pune. This land has a dimension of 100.0 mt length 84.0 mt width. Price. The name of the project is Marvel Sindh Society. This is a corner plot. The plot is East facing. There are 1 open sides for this plot. The width of the facing road is 20.0 mt. This residential land also has a boundary wall. The most popular landmarks near this plot are Kendriya Vidyalaya Ganeshkhind, Sigree Restaurant, and AW Sindhu Vidya Bhavan School",1,east,0,7,1,1,1,1,1,1,1,1,0,0,9.7,7.4,17.0,,,,1.0,,,,,,,,,,
Gahunje,1000,6000000,INR,1,1,0,"This plot is situated in Gahunje, Pune. It has an area of 1000 sqft and is priced at Rs. 60.00 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,7.4,,,,,,,,,,,,,,,,
Lohegaon,4356,14500000,INR,1,0,0,"This plot is available for sale and is located in the heart of Lohegaon. It has a salable area of 4356 sqft and is available at a price of Rs. 3,328 per sqft. It is north facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,north,0,0,0,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,,,,,,,,,
Marunji,4800,12000000,INR,1,0,0,"4800 Square feet Plot for sale in Pimpri Chinchwad, Pune. This land has a dimension of 70.0 mt length 69.0 mt width. Price. This is a corner plot. The plot is East facing. There are 2 open sides for this plot. The width of the facing road is 45.0 mt. The maximum floor allowed for construction on this plot is 4. The most popular landmarks near this plot are Ayushree Hospital, Alard Group Of Institutes, and US Pizza",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhanori,2100,11400000,INR,1,0,0,"2100 Square feet Plot for sale in Dhanori, Pune. This land has a dimension of 50.0 mt length 42.0 mt width. Price. The name of the project is BU Bhandari Greens. The width of the facing road is 40.0 mt. The most popular landmarks near this plot are Pitstop, Orchid Hospital, and Hi-Gene",1,,0,13,0,0,0,0,0,0,0,0,0,0,8.4,7.2,103.0,,,,1.0,,,,,,,,,,
Gahunje,1500,9200000,INR,0,1,0,"A plot is available at a prime location in Peninsula Land Address One Phase 2. It has an area of 1500 sqft and is priced at Rs. 92.00 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact us for more details. ",1,east,0,0,1,1,0,1,1,1,1,0,1,0,7.4,,25.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,
Bavdhan,10000,27000000,INR,1,1,0,"This plot is situated in Aditya Builders Pune Nisarg Palms, Bavdhan, Pune. It has a salable area of 10000 sqft and is available at a price of Rs. 2,700 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,,0,4,1,1,1,1,1,1,1,1,1,0,8.1,7.9,43.0,1.0,1.0,,1.0,,,,1.0,,,,,,
Uruli Devachi,11000,15000000,INR,1,0,0,"A plot is available at a prime location in Uruli Devachi. It has an area of 11000 sqft. The property is available at a price of Rs. 1.50 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Kanhe,1020,1850000,INR,1,1,0,"Residential Plot available for sale in Old Mumbai Pune Highway Kanhe Phata Pune, Kanhe, Kanhe, Pune. Available amenities are: Gym, Swimming pool, Garden. Plot has 1020 square_feet area Property is inside a gated community.",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Lohegaon,4020,12500000,INR,1,0,0,"It has an area of 4020 sqft. The property is available at a price of Rs. 1.25 cr . Its entry is northwest facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,northwest,0,0,0,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,,,,,,,,,
Katraj,1000,700000,INR,1,1,0,"A plot is available for sale in Katraj, Pune. It has an area of 1000 sqft and is priced at Rs. 7.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,8.4,,,,,,,,,,,,,,,,
Aundh,8500,150000000,INR,1,1,0,"It has an area of 8500 sqft and is priced at Rs. 15.00 cr . The amenities include community hall, gated community and gymnasium. Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,west,0,7,1,1,1,1,1,1,1,1,0,0,9.7,7.4,17.0,,,,1.0,,,,,,,,,,
Hinjewadi,1076,1300000,INR,1,1,0,,1,east,0,122,0,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,,,,,,,,,
Bavdhan,2200,11000000,INR,1,1,0,"This plot is situated in Shrem Trading Kekarav Phase I, Bavdhan. It has an area of 2200 sqft and is priced at Rs. 1.10 cr . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1,east,0,0,0,0,0,1,0,1,1,0,1,0,8.1,,,1.0,,,,,,1.0,,1.0,,,,,
Donaje,2080,6275000,INR,1,1,0,"A plot is available for sale in Donaje, Pune. It has an area of 2080 sqft. The property is available at a price of Rs. 62.75 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,east,0,2,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
kesnand,1000,1299555,INR,1,1,0,"This plot is situated in kesnand. It has an area of 1000 sqft and is priced at Rs. 13.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Swargate,2310,924000,INR,1,1,0,"This plot is situated in Swargate, Pune. It has an area of 2310 sqft. The property is available at a price of Rs. 9.24 lac . It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,9.2,,,,,,,,,,,,,,,,
Handewadi,2000,3000000,INR,1,1,0,"A plot is available for sale in Handewadi, Pune. It has an area of 2000 sqft and is priced at Rs. 30.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,7.9,,,,,,,,,,,,,,,,
Wadaki,10000,10000000,INR,1,0,0,"A plot is available at a prime location in Wadaki. It has an area of 10000 sqft and is priced at Rs. 1.00 cr . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,east,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
