location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Gymnasium,Children's play area,Club House,Lift(s),Swimming Pool,Landscaped Gardens,Rain Water Harvesting,Maintenance Staff,Jogging Track,Sports Facility,Car Parking,24 X 7 Security,Full Power Backup,locality_score,project_score,builder_experience,Indoor Games,ATM,Intercom,School,Shopping Mall,Multipurpose Room,Vaastu Compliant,Cafeteria,Staff Quarter,Hospital,Golf Course
Lal Kuan,450,900000,INR,1,1,0,"450 Square feet Plot for sale in Lal Kuan, Ghaziabad. This land has a dimension of 27.0 mt length 17.0 mt width. Price. The width of the facing road is 22.0 mt. The most popular landmarks near this plot are The Achiever's Academy, Training School Northern Railway, and Abhishek KASHYAP",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,7.4,,,,,,,,,,,,,
Siddhartha Vihar,4675,29700000,INR,1,1,0,"This plot is situated in Siddhartha Vihar, Ghaziabad. It has an area of 4675 sqft and is priced at Rs. 2.97 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,,0,3,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Rajendra Nagar,1962,22500000,INR,1,0,0,"A plot property is available for sale in Rajendra Nagar, Ghaziabad. It has an area of 1962 sqft. The property is available at a price of Rs. 2.25 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Govindpuram,900,2400000,INR,1,0,0,"This plot is situated in Govindpuram, Ghaziabad. It has an area of 900 sqft and is priced at Rs. 24.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Kamla Nehru Nagar,1079,6822000,INR,1,0,0,"A plot is available at a prime location in Kamla Nehru Nagar. It has an area of 1079 sqft and is priced at Rs. 68.22 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Patel Nagar,900,9000000,INR,1,0,0,"A plot is available for sale in Patel Nagar, Ghaziabad. It has an area of 900 sqft. The property is available at a price of Rs. 90.00 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,east,0,0,1,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Vaishali,1290,26000000,INR,1,1,0,"This plot is situated in Vaishali, Ghaziabad. It has a salable area of 1290 sqft and is available at a price of Rs. 20,155 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Chipiyana Buzurg,520,1250000,INR,1,1,0,"Takshvi global home's THE Mission of company is to the Most Sucessful Real Estate Company in Delhi NCR .
Takshvi Group is Young Vibrant and Dynamic reality Company with expending intrest in residential & Commercial Real Estate. We have young , Growing and Dynamic team of professional specializing in the marketing listings and saleing new Residential Plots and house .Undevloped land and commercial and investing opportunities .takshvi global home's is a creative innovative and people oriented organization providing individual opportunities personal satisfaction and rewarding challenges in all members of the company 


PROJECT SPECIFICATION & LOCATION ADVANTAGES
ECOFRIENDLY AND POLLUTION FREE TOWNSHIP
Blakhh TOP WIDE ROAD
GATED SOCIETY 
DEVLOPMENT STARTED IMMEDIATE REGISTRY POSSESSION & MUTATION 
 
Mansarovar park is connected with 2 national highway namely nh 91 & 24 which provide direct connectivity to the township .Proposed metro station school hospiltal less then 1 km wide main road 
5 km from railway station 
4 km from bus station more then 50 institute like IT .
Adjoining all residential colonies & High rise Township of Wave city , Jaipuriya Sare Homes Saamag , Aditya World city etc More About This Property 520 Square feet Plot for sale in Chipiyana Buzurg 12, Ghaziabad. This land has a dimension of 32.0 mt length 16.0 mt width. Price. The plot is East facing. There are 1 open sides for this plot. The width of the facing road is 16.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 4. The most popular landmarks near this plot are Cambridge Public School, Arogya Poly Clinic, and Amit Classes",1,east,0,5,1,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
DLF Ankur Vihar,450,1750000,INR,1,0,0,"A plot is available at a prime location in DLF Ankur Vihar. It has a salable area of 450 sqft and is available at a price of Rs. 3,888 per sqft. Its entry is north facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,north,0,0,1,0,0,0,1,0,,,0,0,,0,0,,,,,,,,,,,,,,
Lal Kuan,486,589000,INR,1,1,0,"Plot for in Modern railway City Lal kuan Ghaziabad.Boundary wall gated society and electricity pass colony.school hospital Shoaping complex and local market at walking distance. More About This Property 486 Square feet Plot for sale in Girdharpur Sunarasi, Ghaziabad. This land has a dimension of 34.0 mt length 15.0 mt width. Price. The name of the project is Aarvanss Modern Railway City. The plot is East facing. There are 1 open sides for this plot. The width of the facing road is 20.0 mt. The maximum floor allowed for construction on this plot is 4. The most popular landmarks near this plot are Shree Ji Unitech Co., Sunrise Academy, and Merry Child International School",1,east,0,4,1,0,0,0,0,0,,,1,0,1.0,1,0,7.4,7.7,123.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,
