location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Swimming Pool,Sports Facility,Lift(s),Club House,Full Power Backup,Gymnasium,Rain Water Harvesting,Maintenance Staff,Jogging Track,Car Parking,Vaastu Compliant,Children's play area,24 X 7 Security,Landscaped Gardens,locality_score,project_score,builder_experience,School,ATM,Shopping Mall,Multipurpose Room,Intercom,Staff Quarter,Hospital,Indoor Games,Cafeteria,Golf Course
Alambagh,1000,1600000,INR,1,0,0,This plot is situated in Alambagh. It has an area of 1000 sqft and is priced at Rs. 16.00 lac . Its entry is east facing. The site is in close proximity to various civic utilities. Please contact for more details. ,1,east,0,0,1,0,0,0,0,1,,,0,,,0,0,0,,,,,,,,,,,,,
Golf City,1000,2800000,INR,1,0,0,"A plot is available for sale in Golf City, Lucknow. It has a salable area of 1000 sqft and is available at a price of Rs. 2,800 per sqft. It is north facing property. The society is well connected by different modes of transportation. Kindly call us for details. ",1,north,0,4,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Mohanlalganj,1000,1200000,INR,0,0,0,"This plot is situated in Mohanlalganj. It has an area of 1000 sqft. The property is available at a price of Rs. 12.00 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,east,0,0,1,0,0,0,0,1,,,0,,,0,0,0,6.3,,,,,,,,,,,,
Makhdoompur Kaithi,2000,2798000,INR,0,1,0,"A plot is available at a prime location in Awadh Landmark Reality The Sage County. It has an area of 2000 sqft. The property is available at a price of Rs. 27.98 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Mohanlalganj,10000,5500000,INR,1,1,0,"10000 Square feet Plot for sale in Purba Barisha, Kolkata. This land has a dimension of 150.0 mt length 67.0 mt width. Price. The name of the project is Arsha Art Village Farmhouse. This is a corner plot. The plot is East facing. There are 2 open sides for this plot. The width of the facing road is 40.0 mt. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are Diamond Food Icon, Beijing, and Oxford High School",1,east,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Jankipuram Extension,1000,900000,INR,1,1,0,"1000 Square feet Plot for sale in Jankipuram Extension, Lucknow. This land has a dimension of 20.0 mt length 50.0 mt width. Price. The width of the facing road is 25.0 mt. The most popular landmarks near this plot are DOON VALLEY HIGH SCHOOL, Brightland School, and Singh Dhaba",1,,0,6,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Deva Road,3000,2397000,INR,1,1,0,"This plot is situated in Taara Buildcon Silicon Green City, Deva Road. It has a salable area of 3000 sqft and is available at a price of Rs. 799 per sqft. It has 24 hours water supply as well as gated community. The project also has landscape garden and tree planting, car parking and fire sprinklers. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,,0,1,0,0,0,0,0,0,,,0,1.0,,0,0,0,,,123.0,,,,,,,,,,
Sushant Golf City,1448,7533952,INR,0,1,0,"A plot property is available for sale in Pardos Lucknow Developers Okas Enclave, Sarojini Nagar, Lucknow. It has an area of 1448 sqft. The property is available at a price of Rs. 75.34 lac . It has 24x7 water supply as well as fire sprinklers. The project also has and full power backup. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,,0,0,0,0,0,0,1,0,,,0,,,0,0,0,7.4,,2022.0,,,,,,,,,,
Gomti Nagar Extension,1250,2250000,INR,1,1,0,"This plot is situated in Aditya Infra Developer Green, Gomti Nagar Extension. It has a salable area of 1250 sqft and is available at a price of Rs. 1,800 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,1,0,,1.0,0,1.0,,1,0,1,,,2022.0,,,1.0,,,,,,,
Mohanlalganj,1250,1375000,INR,1,1,0,"This plot is situated in Mohanlalganj. It has an area of 1250 sqft. The property is available at a price of Rs. 13.75 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,east,0,0,1,0,0,0,0,1,,,0,,,0,0,0,6.3,,,,,,,,,,,,
Arjunganj,1250,3750000,INR,1,0,0,"A plot is available for sale in Arjunganj, Lucknow. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,east,0,0,0,0,0,0,0,1,,,0,,,0,0,0,,,,,,,,,,,,,
Gosainganj,1000,749000,INR,0,1,0,"A plot property is available for sale in Vasundhara Lucknow Orchid Valley, Gosainganj, Lucknow. It has an area of 1000 sqft. The property is available at a price of Rs. 7.49 lac . It has street lighting as well as paved compound. The project also has cctv, senior citizen siteout, club house, security cabin, lift(s), rain water harvesting, 24 x 7 security and children's play area. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,,0,0,1,0,1,1,1,1,1.0,,1,1.0,1.0,1,1,1,6.3,8.5,123.0,,1.0,1.0,,1.0,,,,,
Naubasta Kala,1000,799000,INR,1,0,0,"This plot is situated in Naubasta Kala. It has a salable area of 1000 sqft and is available at a price of Rs. 799 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",1,east,0,4,1,0,0,0,0,1,,,0,,,0,0,0,,,,,,,,,,,,,
Mohanlalganj,1000,1099000,INR,1,1,0,"A plot is available for sale in Mohanlalganj, Lucknow. It has an area of 1000 sqft. The property is available at a price of Rs. 10.99 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,,,0,0,0,6.3,,,,,,,,,,,,
Nirala Nagar,12000,210000000,INR,1,0,0,"This plot is situated in Nirala Nagar, Lucknow. It has an area of 12000 sqft and is priced at Rs. 21.00 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Golf City,3438,21000000,INR,1,0,0,"This plot is available for sale and is located in the heart of Golf City. It has a salable area of 3438 sqft and is available at a price of Rs. 6,108 per sqft. It is facing northwest direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,northwest,0,4,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Alambagh,950,902500,INR,1,1,0,"A plot is available for sale in JSI Infra Developers Aalishan City, Alambagh, Lucknow. It has an area of 950 sqft and is priced at Rs. 9.02 lac . It has internal roads as well as jogging track. The project also has landscape garden and tree planting, street lighting and fountains. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,,0,1,0,0,0,0,0,0,,,1,,,0,0,0,,,,,,,,,,,,,
