location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Rain Water Harvesting,Intercom,Car Parking,Vaastu Compliant,Indoor Games,Multipurpose Room,Staff Quarter,Cafeteria,School,Maintenance Staff,Shopping Mall,Golf Course,ATM,Hospital
Jambhe,999,1500001,INR,,1,1,,1,east,0,0,0,0,1,1,1,1,0,0,1,0,,,,,1,,1,1,,1,,1,1,,,,
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,west,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,650000,INR,,1,1,,1,east,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Maan,1000,1600000,INR,,1,1,,1,west,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,west,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,west,0,0,0,0,0,1,1,0,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,650000,INR,,1,1,,1,west,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Maan,1000,1600000,INR,,1,1,,1,east,0,0,0,0,0,1,1,0,1,0,1,0,,,,,,,1,,,,,1,,,,,1
Maan,1000,1599999,INR,,1,1,,1,west,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,east,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,650000,INR,,1,1,,1,east,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,west,0,0,0,0,1,1,1,1,1,0,1,0,,,,,1,,1,1,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,east,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,south,0,0,0,0,1,0,0,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,west,0,0,0,0,1,1,1,1,0,0,1,0,,,,,1,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,south,0,0,0,0,1,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Maan,1000,1600000,INR,,1,1,,1,west,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Chande,1000,1600000,INR,,1,1,,1,west,0,0,0,0,0,1,1,0,0,0,1,0,,,,,1,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,east,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,south,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,west,0,0,0,0,1,1,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,south,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,south,0,0,0,0,1,1,1,0,1,0,1,0,,,,,,,1,1,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,south,0,0,0,0,1,1,1,1,1,0,1,0,,,,,1,,1,1,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,,0,0,0,0,1,1,1,1,1,0,1,0,,,,,1,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,west,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,west,0,0,0,0,1,1,1,0,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,south,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,south,0,0,0,0,1,1,1,0,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,west,0,0,0,0,1,1,1,1,0,0,1,0,,,,,,,1,,,,,1,,,,,
Maan,1000,1600000,INR,,1,1,,1,west,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,east,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,south,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,west,0,0,0,0,1,1,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,south,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,south,0,0,0,0,1,1,1,0,1,0,1,0,,,,,,,1,1,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,south,0,0,0,0,1,1,1,1,1,0,1,0,,,,,1,,1,1,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,,0,0,0,0,1,1,1,1,1,0,1,0,,,,,1,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,west,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,west,0,0,0,0,1,1,1,0,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,south,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,south,0,0,0,0,1,1,1,0,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,west,0,0,0,0,1,1,1,1,0,0,1,0,,,,,,,1,,,,,1,,,,,
Maan,1000,1600000,INR,,1,1,,1,west,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,north,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,749999,INR,,1,1,,1,west,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,650000,INR,,1,1,,1,west,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,south,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,east,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,west,0,0,0,0,1,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,east,0,0,0,0,1,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,west,0,0,0,0,1,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,south,0,0,0,0,1,1,1,0,1,0,1,0,,,,,1,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,west,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,east,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1600000,INR,,1,1,,1,west,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Maan,1000,1600000,INR,,1,1,,1,west,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Maan,1000,1600000,INR,,1,1,,1,west,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Maan,1000,1600000,INR,,1,1,,1,east,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,west,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,west,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,east,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,south,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,south,0,0,0,0,0,0,0,1,1,0,0,0,,,,,1,,,,,,1,,,,,,
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,west,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,1
Chande Road,1000,1600000,INR,,1,1,,1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Chande,1000,1600000,INR,,1,1,,1,west,0,0,0,0,1,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Maan,1000,1600000,INR,,1,1,,1,south,0,0,0,0,1,0,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,east,0,0,0,0,1,1,1,0,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,west,0,0,0,0,0,1,0,1,1,0,1,0,,,,,,,,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,west,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,west,0,0,0,0,1,1,1,1,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,east,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,east,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,west,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,west,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,south,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,650000,INR,,1,1,,1,west,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Maan,1000,1600000,INR,,1,1,,1,south,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Chande Road,1000,1600000,INR,,1,1,,1,west,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Maan,1000,1600000,INR,,1,1,,1,east,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,west,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,east,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,east,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,northeast,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,west,0,0,0,0,0,1,1,1,0,0,1,0,,,,,,,,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,west,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,west,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,south,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Chande Road,1000,1600000,INR,,1,1,,1,west,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Maan,1000,1600000,INR,,1,1,,1,south,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,south,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,south,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,south,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,west,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,west,0,0,0,0,1,0,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,east,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,west,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,1600000,INR,,1,1,,1,south,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,west,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Chande Road,1000,1600000,INR,,1,1,,1,east,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Chande,1000,1600000,INR,,1,1,,1,north,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,,,,,,1,,,,,1
Maan,1000,1600000,INR,,1,1,,1,east,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,west,0,0,0,0,0,1,1,1,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,west,0,0,0,1,0,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,east,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,west,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,west,0,0,0,0,0,1,1,1,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi,2709,1758141,INR,1,1,0,"A plot is available for sale in Hinjewadi, Pune. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,
Hinjewadi,2604,1689996,INR,1,1,0,"This plot is situated in Hinjewadi. It has an area of 2604 sqft. The property is available at a price of Rs. 16.90 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,
Hinjewadi,2501,1623149,INR,1,1,0,"A plot is available for sale in Hinjewadi, Pune. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,
Hinjewadi,10340,6710660,INR,1,1,0,"This plot is available for sale and is located in the heart of Hinjewadi. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,
Hinjewadi,2170,1408330,INR,1,1,0,"This plot is situated in Hinjewadi. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,
Hinjewadi,2196,1425204,INR,1,1,0,"It has a salable area of 2196 sqft and is available at a price of Rs. 649 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,
Hinjewadi,2135,1385615,INR,1,1,0,"A plot is available at a prime location in Hinjewadi. It has a salable area of 2135 sqft and is available at a price of Rs. 649 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,
Shiraswadi,1000,299000,INR,1,1,0,"Residential Plot available for sale in Wagholi Rahu Road Wadebollai, Wadebolai, Pune. Available amenities are: Garden. Plot has 1000 square_feet area It is 1 years old. Property is inside a gated community.",1,east,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Shiraswadi,1000,299000,INR,1,1,0,"Residential Plot available for sale in Wagholi Rahu Road Wadebolhai, Wadebolai, Wadebolai, Pune. Available amenities are: Garden. Plot has 1000 square_feet area It is 6 years old.",1,east,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Hinjewadi,2184,1417416,INR,1,1,0,"A plot is available for sale in Hinjewadi, Pune. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,
Hinjewadi,3000,1947000,INR,1,1,0,"This plot is situated in Hinjewadi. It has a salable area of 3000 sqft and is available at a price of Rs. 649 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,
Shiraswadi,1000,299000,INR,1,1,0,"Residential Plot available for sale in Wagholi Rahu Road Wadebolai, Wadebolai, Pune. Available amenities are: Garden. Plot has 1000 square_feet area It is 1 years old. Property is inside a gated community.",1,east,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Tingre Nagar,2600,20000000,INR,,1,1,"This plot is available for sale and is located in the heart of Tingre Nagar. It has an area of 2600 sqft and is priced at Rs. 2.00 cr (negotiable). The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,west,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Maan,1000,1600000,INR,,1,1,,1,east,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,east,0,0,0,0,0,1,1,0,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,east,0,0,0,0,1,1,1,0,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,west,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,south,0,0,0,0,0,1,1,0,1,0,0,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,west,0,0,0,0,1,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Chande Road,1000,1600000,INR,,1,1,,1,west,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,east,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,east,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,650000,INR,,1,1,,1,northeast,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Maan,1000,1600000,INR,,1,1,,1,east,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,,,,1,,1,,,,,1
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,east,0,0,0,0,1,1,1,1,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,east,0,0,0,0,1,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,north,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,west,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,west,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,west,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,south,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,south,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,west,0,0,0,0,1,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Maan,1000,1600000,INR,,1,1,,1,west,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,1600000,INR,,1,1,,1,east,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,1600000,INR,,1,1,,1,north,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,750000,INR,,1,1,,1,east,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,650000,INR,,1,1,,1,east,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Maan,1000,1600000,INR,,1,1,,1,east,0,0,0,0,1,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,west,0,0,0,0,1,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,northeast,0,0,0,0,1,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,700000,INR,,1,1,,1,east,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,700000,INR,,1,1,,1,east,0,0,0,0,0,1,0,1,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,650000,INR,,1,1,,1,east,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Maan,1000,1600000,INR,,1,1,,1,west,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Maan,1000,1600000,INR,,1,1,,1,west,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,1
Maan,1000,1600000,INR,,1,1,,1,west,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Maan,1000,1600000,INR,,1,1,,1,west,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,west,0,0,0,0,1,1,1,1,1,0,1,0,,,,,1,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,west,0,0,0,0,1,1,1,1,1,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,1000000,INR,,1,1,,1,west,0,0,0,0,1,1,1,1,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,west,0,0,0,0,1,1,1,1,0,0,1,0,,,,,,,1,,,,,1,,,,,
Hinjewadi Kasarsai Road,1000,850000,INR,,1,1,,1,west,0,0,0,0,1,1,1,0,0,0,1,0,,,,,,,1,,,,,1,,,,,
