location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Swimming Pool,Jogging Track,Landscaped Gardens,Sports Facility,Gymnasium,locality_score,project_score,builder_experience,Indoor Games,Rain Water Harvesting,Intercom,Maintenance Staff,Vaastu Compliant,Car Parking,Shopping Mall,Multipurpose Room,ATM,Staff Quarter,Hospital,School,Cafeteria
Alambagh,1265,5159000,INR,,1,1,"This spacious 2 bhk builder floor is available for sale and is located in Sri Sai Infratech Basera, one of the most prestigious projects of Alambagh. The house is semi-furnished. It is on the ground floor of the building (total number of floors are 3). It has full power backup as well as children's play area. The project also has 24 x 7 security, car parking and cctv. It is a road facing property. The property is available on freehold. It has 2 bathrooms and 1 balcony. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Please contact for more details. ",1,east,0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,
Alambagh,1095,4490000,INR,,1,1,"Well designed 2 bhk builder floor is available at a prime location in Sri Sai Infratech Basera. The house is semi-furnished. It has children's play area. Other amenities include cctv, full power backup, 24 x 7 security and car parking. It is facing east direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Contact us for more details. ",1,east,0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,
Indira Nagar,1250,3400000,INR,,1,1," Vitrified tiles in drawing and bedroom, Anti skid tiles in bathrooms and balconies. • Finished walls & ceiling in OBD with putty in drawing room with pleasing shades. • Outer doors & windows with finest quality of wood and good quality hardware fittings",1,east,0,4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,8.6,8.5,123.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,
Bijnaur Road,1300,9500000,INR,,0,1,"A spacious 3 bhk builder floor is available for sale in Bijnaur Road, Lucknow. It has an area of 1300 sqft with a carpet area of 1000 sqft . The property is available at a price of Rs. 95.00 lac (negotiable ). It is a semi-furnished property. It is located on the 1st floor(out of a total of 3 floor(s)). Its main door is facing west direction. The property is available on freehold. The property has 3 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Contact us for more details. ",1,west,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Viram Khand 5,1000,10950000,INR,,0,0,"Address: Jivan Plaza, Shaheed Path, Gomtinagar, Husadiya Chauraha, Viramkhand 5, Lucknow., Gomtinagar, Lucknow, U P
Property on first floor of complex. Complex at husadiya chauraha(Chandrashekhar azad chowk).
4 shops in one, 2-2 opposite each other(See map), connected.
Wide passage corridor both the sides.
Corner shops with stairs both the sides.
Front is facing shaheed path, husadiya chauraha, (Property best for showroom and offices), commercial place.


False ceiling and granite tiles on floor with skirting.
All led light setup by philips.


Plaza has cafeterias, gym, coaching institute.
Nearby places- Mr brown bakery, jaipuria school and college, husadiya chauraha, stadium, pallassio, lulu mall 6 kms. Gomtinagar railway station 3km, hospital and banks at 50 meters, atm in plaza. Supermarket store beside property.


Property has road connectivity on all sides and is situated at entrance of a posh colony with parks in front and back of property.


Lots of parking space on all sides of property.


Property since on 1st floor- Is visible from chauraha, hence good
Advertising space.",1,,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Indira Nagar,1250,3400000,INR,,1,1," Vitrified tiles in drawing and bedroom, Anti skid tiles in bathrooms and balconies. • Finished walls & ceiling in OBD with putty in drawing room with pleasing shades. • Outer doors & windows with finest quality of wood and good quality hardware fittings",1,east,0,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,8.6,8.5,123.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,
Sitapur Road,402,900000,INR,,1,1,It’s a 1 bhk builder floor situated in Sitapur Road. It’s on 1st floor out of 2 floors building. It is north facing property. The property is available on freehold. It has 1 bathroom and 1 balcony. Kindly call us for details. ,1,north,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,,
Nawabganj,1000,3500000,INR,,1,0,"•	Vitrified tiles in drawing and bedroom, Anti skid tiles in bathrooms and balconies.
•	Finished walls & ceiling in OBD with putty in drawing room with pleasing shades.
•	Outer doors & windows with finest quality of wood and good quality hardware fittings. Vitrified tiles in drawing and bedroom, Anti skid tiles in",1,east,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,123.0,,,,,,1.0,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarojini Nagar,855,5300000,INR,,0,0,The house is furnished. It is east facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. ,1,east,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,
