location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,24 X 7 Security,Full Power Backup,Jogging Track,Landscaped Gardens,Gymnasium,Lift(s),Intercom,Sports Facility,Swimming Pool,Club House,Children's play area,locality_score,project_score,builder_experience,Car Parking,Shopping Mall,Indoor Games,Maintenance Staff,Multipurpose Room,Rain Water Harvesting,Cafeteria,Vaastu Compliant,ATM,Golf Course,Staff Quarter,Hospital,School
Kurali Chandigarh Road,1500,4400000,INR,,1,0,"DUPLEX VILLA FOR SALE KURALI HIGH WAY NEAR TO CHANDIGARH... 
GATED SOCIETY... 
ON ROAD... 
GOOD LOCATION... 
WELL DEVELOPMENT.. 
WATER FACILITY... 
HOSPITAL AND collegeS NEAR THIS SOCIETY...",1,,0,2,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sector115,950,3000000,INR,,1,0,"Villa for sale sector 115 landra kharar road.... 
Gated society... 
On road project... 
All emnities available.... 
3bed room
2 kitchen
..... 
Contact me.....",1,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sunny Enclave,1400,4390000,INR,,1,0,"Duplex villa for sale... 
Near to mohali... 
Gated society'... 
ready to move in in.. 
Well developed.... 
3bhk duplex villa..... 
Near to airport.... 
Gated society.... 
On road project....",1,,0,2,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sunny Enclave,1250,4490000,INR,,1,0,"It’s a 3 bhk villa situated in Sunny Enclave. It has a salable area of 1250 sqft and is available at a price of Rs. 3,592 per sqft. The house is unfurnished. It has 3 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact for more details. ",1,,0,2,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Mohali Sector 127,1000,3990000,INR,,1,0,"It’s a 3 bhk villa situated in Mohali Sector 127, Chandigarh. It has an area of 1000 sqft with a carpet area of 900 sqft . The property is available at a price of Rs. 39.90 lac . The house is unfurnished. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,,0,2,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Mullanpur,4500,29725000,INR,1,1,1,"Omaxe Mulberry Villas in Chandigarh are designed to offer delightful living experience and a great lifestyle. The Villas are enriched with luxurious amenities. The houses are modern and unique, laden with the best of facilities to soothe the living experience. The villas have smooth Italian marble flooring.The master bedroom is encompassed with laminated wooden flooring to give you the touch of nature and royalty. The modular kitchen can entice anyone to turn culinary artist with the designed perfection. The green lawns lay wide surrounding your villa, coaxing the villa amidst the beauty of nature. The luxurious experience in the bathroom is studded by its European style, making it to the epitome of desires.The destination is surrounded by facilities and amenities which would make life simpler and more comfortable. The superb connectivity reduces the hassle of the commute from any part of the city. Compared to the multitude of amenities and a peaceful existence away from the hustle of busy cities price would be a minor decision at Omaxe New Chandigarh Villas. The township boasts of amenities such as shopping complex, school, and amusement parks within the area to provide hassle-free living experience.",1,east,0,0,1,1,0,1,1,0,,0,1,0,0,,,,1.0,,,,,,,,,,,,
Mullanpur,4500,40850000,INR,1,1,1,"Omaxe Mulberry Villas in Chandigarh are designed to offer delightful living experience and a great lifestyle. The Villas are enriched with luxurious amenities. The houses are modern and unique, laden with the best of facilities to soothe the living experience. The villas have smooth Italian marble flooring.The master bedroom is encompassed with laminated wooden flooring to give you the touch of nature and royalty. The modular kitchen can entice anyone to turn culinary artist with the designed perfection. The green lawns lay wide surrounding your villa, coaxing the villa amidst the beauty of nature. The luxurious experience in the bathroom is studded by its European style, making it to the epitome of desires.The destination is surrounded by facilities and amenities which would make life simpler and more comfortable. The superb connectivity reduces the hassle of the commute from any part of the city. Compared to the multitude of amenities and a peaceful existence away from the hustle of busy cities price would be a minor decision at Omaxe New Chandigarh Villas. The township boasts of amenities such as shopping complex, school, and amusement parks within the area to provide hassle-free living experience.",1,east,1,0,1,1,0,1,1,0,,0,1,0,0,,,,1.0,,,,,,,,,,,,
Mohali Sec 125,1125,6990000,INR,,1,1,"rady to move propty in mohali 125 near by 200 fit rod , prime location propty both side open propty , near by daly need sops in walking distance air port 10 min draving distance , kfc , burger king 10 min draving distance , vaastu frandly socity , 24*7 WATER SUPLI , SCHOOL , coligs 5 min draving distanc",1,east,0,0,1,1,1,0,1,1,,0,1,1,0,,,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,1.0
Kharar Mohali,936,4990000,INR,,1,1,"kharar kurali highway nh21 , gated town ship , 2 tire securty , 24 hours cctv camera , secuty gard avelabal , near by sub way , burgar king , gopal sweets , chandigarh universty 5 mint draving distance , park club house are avelabal ,",1,east,0,1,1,0,0,1,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Kharar Mohali,846,4990000,INR,,1,0,"Rady to move propty, in chd kharar kurali, highway Nh _21 gated township two tire security, 24 hours Cctv, offering 170 independent duplex, villa in fully Equipped Modular kitchen, Chandigarh university, Rayat Bahart university nearby, Mind tree smart school walk in Distance, huge Rental income, Land Ecaped Gardenss House, Led street Lights",1,east,0,1,1,1,1,0,0,0,,0,0,0,0,,,,1.0,,,,,,,1.0,,,,,
Mohali Sector 127,990,4190000,INR,,1,1,"Rady to move villa, kharar mohali 
Gated society, 35 feet Rod, prime lookeshan, near by gillco school 
Cgc university, cu university, vaastu frandly socity",1,east,0,1,1,1,1,0,0,0,,0,0,0,0,,,,1.0,,,,,,,1.0,,,,,
